date,ret_1d,ewma_vol,cvar_95_60d,sample_split_main,sample_split_robust,main_regime,main_p_regime_0,main_p_regime_1,main_p_regime_2,robust_regime,robust_p_regime_0,robust_p_regime_1,robust_p_regime_2
2000-03-28,0.0040290096648025,0.0127993146708056,-0.030111687511057,train,train,0,0.574796432269048,0.0549407715695415,0.37026279616141056,0,0.5877921814007063,0.35678125592258597,0.05542656267670783
2000-03-29,-0.0100825252730942,0.0126527683782134,-0.0257408660727759,train,train,0,0.5237519746284957,0.039522574430931844,0.43672545094057236,0,0.533488274099402,0.4249519450673514,0.04155978083324626
2000-03-30,-0.0213366929395534,0.0133342514867,-0.0224760604672578,train,train,2,0.06285219721860588,0.09825287720743589,0.8388949255739583,1,0.06175661018874506,0.8315679951308885,0.10667539468036653
2000-03-31,0.0085491936104847,0.0130965434230296,-0.0224760604672578,train,train,2,0.10437359125508308,0.05965308186251303,0.8359733268824038,1,0.1041753586786014,0.829222208919649,0.0666024324017493
2000-04-03,-0.0210494747139252,0.0137044921758288,-0.0224760604672578,train,train,2,0.008808519529790835,0.08569720529221714,0.905494275177992,1,0.008397562710242746,0.8955065329523473,0.09609590433741022
2000-04-04,-0.0087836972628787,0.0134600713113217,-0.0224760604672578,train,train,2,0.023467054610993816,0.0542910839031892,0.9222418614858169,1,0.023980718773300345,0.9135671436864422,0.062452137540257746
2000-04-05,-0.0182593711473759,0.0137951943301054,-0.0224760604672578,train,train,2,0.005893663665465226,0.06031505426419382,0.9337912820703409,1,0.0059052845045928035,0.9245490688662004,0.06954564662920673
2000-04-06,0.0203031901128648,0.0142696221090328,-0.0224760604672578,train,train,2,0.003998598914643858,0.07673691526499052,0.9192644858203656,1,0.00406065454550561,0.9079811619758194,0.08795818347867482
2000-04-07,0.0156166519047697,0.0143540090995305,-0.0224760604672578,train,train,2,0.010075907209571742,0.06853951046362497,0.9213845823268034,1,0.010482938070675607,0.9101786061536303,0.07933845577569452
2000-04-10,-0.0018590910882503,0.0139241766642091,-0.0224760604672578,train,train,2,0.04512270731220864,0.03774044465029038,0.9171368480375008,1,0.04794194750734684,0.9075151200319801,0.044542932460672896
2000-04-11,-0.0217669344363005,0.0145147407870341,-0.0226194742995068,train,train,2,0.003443319272714896,0.059544436350184415,0.937012244377101,1,0.003469535786183991,0.9274482002615707,0.06908226395224555
2000-04-12,0.0023246198338672,0.0140840785836428,-0.0226194742995068,train,train,2,0.036288904624980745,0.0335908349641806,0.9301202604108386,1,0.03867680979675298,0.9217888681333708,0.039534322069876206
2000-04-13,0.0090646472903736,0.0138343652983122,-0.0226194742995068,train,train,2,0.06613957677131266,0.024163890069442272,0.9096965331592451,1,0.070433611222642,0.9014609525332912,0.02810543624406692
2000-04-14,-0.0246241510199891,0.0147067063689335,-0.023571879827403,train,train,2,0.001867378080997781,0.05586651989635432,0.9422661020226477,1,0.0018587871780125628,0.9354401964438298,0.06270101637815734
2000-04-17,-0.0129845000735431,0.0146091003836067,-0.023571879827403,train,train,2,0.008706201525862682,0.04436447677397214,0.9469293217001652,1,0.00911837737045364,0.9404775081549984,0.05040411447454801
2000-04-18,0.0039326208469135,0.0141967670820062,-0.023571879827403,train,train,2,0.04434084235142055,0.026528607038019812,0.9291305506105594,1,0.04737244750041775,0.9222917071118065,0.030335845387776197
2000-04-19,0.0069288226620821,0.0138685189856324,-0.023571879827403,train,train,2,0.08986792253916454,0.01849453618622677,0.8916375412746087,1,0.09597528470374991,0.8832087743722042,0.020815940924046143
2000-04-20,0.0142023036285973,0.013888772279258,-0.023571879827403,train,train,2,0.07015207994415863,0.020558289658657664,0.9092896303971838,1,0.0741301676172283,0.9033729760091407,0.022496856373630993
2000-04-25,-0.0066732406144779,0.0135645141497034,-0.023571879827403,train,train,2,0.1018972411150854,0.015293432857839323,0.8828093260270753,1,0.10744690291821546,0.8760013589801626,0.016551738101622006
2000-04-26,0.0048893498805741,0.0132057042979818,-0.023571879827403,train,train,2,0.1860411748293433,0.01125545342945554,0.8027033717412013,1,0.1959373729562187,0.7921647524998501,0.0118978745439312
2000-04-27,-0.0183265771921188,0.0135675714238073,-0.023571879827403,train,train,2,0.03419333500622321,0.021486867293402646,0.9443197977003742,1,0.035036834604798166,0.9426271745067842,0.022335990888417985
2000-04-28,0.0171413937342253,0.0138081098427268,-0.023571879827403,train,train,2,0.019286132407877014,0.027669303932471266,0.9530445636596516,1,0.019667205807497118,0.951744789566647,0.028588004625855964
2000-05-02,0.0342264807124358,0.0157959229708367,-0.023571879827403,train,train,2,5.284915791612881e-05,0.16819397600070227,0.8317531748413817,1,4.9623429082230666e-05,0.8317566741772103,0.1681937023937073
2000-05-03,-0.0169368103274546,0.0158666897680222,-0.023571879827403,train,train,2,0.0029749726515569544,0.15218114316459266,0.8448438841838505,1,0.003102064582124969,0.8404606425697244,0.15643729284815056
2000-05-04,-0.0060519634512668,0.015454588614386,-0.023571879827403,train,train,2,0.02380059727571168,0.08741550357815041,0.8887838991461381,1,0.025374184142536428,0.8815424836682375,0.09308333218922614
2000-05-05,-0.0031608121692196,0.015003769349722,-0.023571879827403,train,train,2,0.06389728850508661,0.04745311647852443,0.8886495950163891,1,0.0682641629848017,0.8797294045584989,0.05200643245669922
2000-05-08,-0.0224721263280551,0.0155533307275298,-0.023645417893136,train,train,2,0.0036466332759513154,0.07691530316383763,0.919438063560211,1,0.003681116331942,0.9118126765285487,0.08450620713950896
2000-05-09,-0.0207642581566995,0.015914175942367,-0.023645417893136,train,train,2,0.0014174326363175771,0.0961546886628553,0.9024278787008272,1,0.001427153838701799,0.891967844494179,0.1066050016671191
2000-05-10,-0.0218599487438469,0.016332078181118,-0.023645417893136,train,train,2,0.0008755310487757237,0.12678275019873797,0.8723417187524866,1,0.0008775308773391654,0.8574333399950879,0.1416891291275731
2000-05-11,0.0186574469089947,0.0164808552739541,-0.023645417893136,train,train,2,0.004269940735197735,0.13141906970954817,0.8643109895552541,1,0.004393275156163863,0.8468747617510332,0.14873196309280295
2000-05-12,0.0059893757445772,0.0160459911640242,-0.0231159298263002,train,train,2,0.03237787291366041,0.07522693042743872,0.8923951966589008,1,0.034303060987076875,0.877734734254573,0.08796220475835044
2000-05-15,-0.008438847774452,0.0156938921748369,-0.0231159298263002,train,train,2,0.047946210254917604,0.04743572975249961,0.9046180599925827,1,0.05066079718664131,0.892701819480697,0.05663738333266154
2000-05-16,0.019019883089757,0.0159130673870428,-0.0231159298263002,train,train,2,0.016354559098584805,0.05840926107075869,0.9252361798306564,1,0.016841520130389365,0.9141947786851944,0.06896370118441611
2000-05-17,-0.0285113531211039,0.0169353478338199,-0.025202543489716,train,train,2,0.0001566022132302529,0.1513129546304458,0.8485304431563239,1,0.0001474633577952563,0.8263767997462083,0.17347573689599624
2000-05-18,-0.0014407236488198,0.0164232209677412,-0.025202543489716,train,train,2,0.027394413189949608,0.08122463721603662,0.8913809495940136,1,0.02913411446554108,0.8740574780478463,0.09680840748661265
2000-05-19,-0.0321658339369383,0.0177656215233091,-0.0284337793593438,train,train,2,4.013096841551714e-05,0.2769013488078263,0.7230585202237579,1,3.6602211089799225e-05,0.6855958528512485,0.3143675449376619
2000-05-22,-0.0209483693301743,0.0179724878711462,-0.0284337793593438,train,train,2,0.0008275338452795933,0.30928708973848323,0.6898853764162372,1,0.0007950798455602262,0.6447882980156033,0.35441662213883646
2000-05-23,0.005196459364742,0.0174714021319856,-0.0284337793593438,train,train,2,0.02464360209021233,0.18335537916406097,0.7920010187457269,1,0.02531609411359626,0.7532379542287923,0.22144595165761177
2000-05-24,-0.0036384895090604,0.0169625828005216,-0.0284337793593438,train,train,2,0.06382397962886088,0.09958796176557656,0.8365880586055626,1,0.0665482690498478,0.8075082448158991,0.12594348613425307
2000-05-25,0.0208780910834622,0.017222634629639,-0.0284337793593438,train,train,2,0.012861194308977402,0.12930585353239146,0.8578329521586311,1,0.012860222766030358,0.8243270025522931,0.16281277468167674
2000-05-26,-0.0117633412304662,0.0169447504196769,-0.0284337793593438,train,train,2,0.017155260742838366,0.09078887553653407,0.8920558637206274,1,0.017392172902940706,0.8648706584221856,0.11773716867487385
2000-05-29,0.0116024263904139,0.0166725544133684,-0.0284337793593438,train,train,2,0.03164458238708933,0.06438007970054002,0.9039753379123707,1,0.03258729297894372,0.8826767945378282,0.08473591248322809
2000-05-30,0.0084499025451943,0.0162966155261798,-0.0284337793593438,train,train,2,0.06400345875539667,0.0408197000778855,0.8951768411667179,1,0.06673094464858174,0.8792853811981861,0.05398367415323206
2000-05-31,0.0037493637470546,0.0158268240864078,-0.0284337793593438,train,train,2,0.13589218468123346,0.02338247191897735,0.8407253433997893,1,0.1427375572728255,0.8268356665585129,0.030426776168661396
2000-06-01,0.0173441730731293,0.0159219433298142,-0.0284337793593438,train,train,2,0.05908282542371267,0.030819047529999644,0.9100981270462878,1,0.06104825893784048,0.9007899838293377,0.03816175723282156
2000-06-02,0.0241642583466343,0.0165327694449695,-0.0284337793593438,train,train,2,0.004974993942033209,0.06470306877444808,0.9303219372835188,1,0.00490692327883794,0.9186817978921407,0.07641127882902127
2000-06-05,-0.0123997638686867,0.0163143423474328,-0.0284337793593438,train,train,2,0.011322328916711203,0.04902867025235501,0.9396490008309338,1,0.011702162738150106,0.9297078574658041,0.058589979796045716
2000-06-06,-0.0203526063867867,0.0165843907171657,-0.0284337793593438,train,train,2,0.0022875202622570858,0.0640157460060051,0.9336967337317379,1,0.0022968697547945307,0.9220042454300312,0.07569888481517452
2000-06-07,-0.0087186018829815,0.0162203679261499,-0.0284337793593438,train,train,2,0.017609901454251148,0.04156814325981729,0.9408219552859315,1,0.01859533433930817,0.9315367844089084,0.04986788125178333
2000-06-08,0.0103032141574853,0.0159274507953593,-0.0284337793593438,train,train,2,0.037845942925144524,0.030503363801481578,0.931650693273374,1,0.040110762933964816,0.9235450224073142,0.036344214658721154
2000-06-09,0.0067920104927062,0.0155315984979093,-0.0284337793593438,train,train,2,0.08137738019121458,0.020558430924766374,0.8980641888840192,1,0.08651686197234038,0.8894126687956383,0.02407046923202122
2000-06-12,-0.0075608356533465,0.0151719047232988,-0.0284337793593438,train,train,2,0.10496650740773501,0.015746042553744496,0.8792874500385205,1,0.11110503348038908,0.8709753291315859,0.0179196373880253
2000-06-13,0.0013613009347386,0.0147134863227918,-0.0284337793593438,train,train,2,0.20263127793372998,0.010756742474812332,0.7866119795914579,1,0.2140814693123427,0.7741409374905216,0.011777593197135863
2000-06-14,0.0068890669468122,0.0143647148801701,-0.0284337793593438,train,train,2,0.2965295833354154,0.008845725493264038,0.6946246911713206,1,0.31136860054407356,0.6793541565508281,0.00927724290509843
2000-06-15,-0.0004320692002735,0.0139275099210482,-0.0284337793593438,train,train,2,0.44595618023595995,0.006056627869741427,0.5479871918942989,1,0.46398358590822897,0.5298772996019347,0.006139114489836494
2000-06-16,-0.0140929885591098,0.0139374940443565,-0.0284337793593438,train,train,2,0.23851702961923216,0.011276078591410856,0.7502068917893572,1,0.2473619039215559,0.7412384860322826,0.011399610046161307
